127.0.0.1, 2013-10-24 13:18:03, GET, /qastack/default/runonce, HTTP/1.1, 200, 0.063511
127.0.0.1, 2013-10-24 13:18:03, GET, /qastack/static/css/qastack_stylesheet.css, HTTP/1.1, 200, 0.000316
127.0.0.1, 2013-10-24 13:18:04, GET, /qastack/static/images/qastack_logo.png, HTTP/1.1, 200, 0.000271
127.0.0.1, 2013-10-24 13:18:04, GET, /qastack/static/images/favicon.ico, HTTP/1.1, 404, 0.000295
127.0.0.1, 2013-10-24 13:19:00, GET, /qastack, HTTP/1.1, 200, 0.057936
127.0.0.1, 2013-10-24 13:19:00, HEAD, /qastack, HTTP/1.1, 200, 0.025742
127.0.0.1, 2013-10-24 13:19:00, GET, /qastack/static/images/favicon.ico, HTTP/1.1, 404, 0.000236
127.0.0.1, 2013-10-24 13:19:05, GET, /qastack/members/login, HTTP/1.1, 200, 0.163332
127.0.0.1, 2013-10-24 13:19:17, GET, /qastack/members/login, HTTP/1.1, 200, 0.058701
127.0.0.1, 2013-10-26 13:20:12, GET, /, HTTP/1.1, 303, 0.000766
127.0.0.1, 2013-10-26 13:20:12, HEAD, /, HTTP/1.1, 303, 0.000357
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.993761
127.0.0.1, 2013-10-26 13:20:13, HEAD, /welcome/default/index, HTTP/1.1, 200, 0.904872
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.026969
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.026795
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.010182
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.010223
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.021857
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.010404
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.010332
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.011183
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.010754
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000236
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000212
127.0.0.1, 2013-10-26 13:20:13, GET, /welcome/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.035051
127.0.0.1, 2013-10-26 13:20:14, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000438
127.0.0.1, 2013-10-26 13:20:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000415
127.0.0.1, 2013-10-26 13:20:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000817
127.0.0.1, 2013-10-26 13:20:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000380
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/default/index, HTTP/1.1, 200, 0.606606
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.032056
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.032102
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.031456
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.031629
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.031771
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.032205
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000234
127.0.0.1, 2013-10-26 13:20:24, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001016
