127.0.0.1, 2013-11-19 05:11:05, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000282
127.0.0.1, 2013-11-19 05:11:05, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.000193
127.0.0.1, 2013-11-19 05:11:05, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.000232
127.0.0.1, 2013-11-19 05:11:34, GET, /admin/default/edit/qastack/models/parser.py, HTTP/1.1, 200, 0.067879
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.019987
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.023019
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002706
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000321
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.012610
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.012569
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.008240
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000553
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000683
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000515
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000306
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000223
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000241
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.012121
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000239
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.018564
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.009022
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002290
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000390
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000298
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.027113
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001812
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.029462
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.030059
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001580
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000204
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000390
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000477
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/js/typeahead.min.js, HTTP/1.1, 200, 0.000410
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/codemirror/emmet.min.js, HTTP/1.1, 200, 0.001113
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000967
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/js/ajax_editor.js, HTTP/1.1, 200, 0.000765
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000225
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000529
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/static/_2.7.3/images/files_toggle.png, HTTP/1.1, 200, 0.001211
127.0.0.1, 2013-11-19 05:11:35, GET, /admin/default/edit/qastack/models/parser.py, HTTP/1.1, 200, 0.056602
127.0.0.1, 2013-11-19 05:11:36, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000304
127.0.0.1, 2013-11-19 05:11:36, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.280350
